"Monitor PT1000 Minus Bottom Mid TEC TAir"
Date,VALUE_CONVERTED
"1272286513000","15.13"
"1272288507000","17.18"
"1272295232000","15.1"
"1272300674000","13.02"
"1273383980000","15.04"
"1273495692000","13.02"
"1273583512000","15.04"
"1273617370000","12.93"
"1273837697000","14.95"
"1274371955000","12.86"
"1274388485000","14.87"
"1274857152000","12.86"
"1274870419000","14.87"
"1274995212000","12.86"
"1275058219000","14.87"
"1275094464000","12.86"
"1275513669000","14.87"
"1275646667000","12.84"
"1275682562000","14.87"
"1275964667000","12.86"
"1276034267000","14.87"
"1276250259000","12.86"
"1276708829000","14.87"
"1278406312000","15.02"
"1278702529000","12.82"
"1278730157000","14.87"
"1278832517000","12.8"
"1278892474000","14.82"
"1279526357000","12.78"
"1279543749000","14.87"
"1279544843000","15.36"
"1279640122000","13.32"
"1283174575000","15.41"
"1283245604000","15.86"
"1283512122000","13.93"
"1285405708000","15.95"
"1285951373000","13.91"
"1285996755000","15.93"
"1286704756000","13.87"
"1287477273000","12.93"
"1287501918000","14.95"
"1287536561000","16.98"
"1287663238000","14.97"
"1288194651000","12.95"
"1288813343000","14.97"
"1288904298000","12.95"
"1288970763000","14.97"
"1290254486000","12.95"
"1290263521000","14.97"
"1291876296000","16.98"
"1291890116000","17.63"
"1291980095000","18.48"
"1291981258000","18.5"
"1291985210000","18.52"
"1291985675000","18.5"
"1291985908000","18.52"
"1291988465000","18.55"
"1291988698000","18.52"
"1291990558000","18.55"
"1291995440000","18.57"
"1291995673000","18.55"
"1291996370000","18.57"
"1291997998000","18.59"
"1291998230000","18.57"
"1291998463000","18.59"
"1291998695000","18.57"
"1291999393000","18.59"
"1291999625000","18.57"
"1292000090000","18.59"
"1292000323000","18.57"
"1292001253000","18.59"
"1292001485000","18.57"
"1292001718000","18.59"
"1292006368000","18.61"
"1292006600000","18.59"
"1292006833000","18.61"
"1292007298000","18.59"
"1292007530000","18.61"
"1292008693000","18.59"
"1292008925000","18.61"
"1292009623000","18.59"
"1292009855000","18.61"
"1292011483000","18.63"
"1292012180000","18.61"
"1292012413000","18.63"
"1292013110000","18.61"
"1292013343000","18.63"
"1292015900000","18.65"
"1292016598000","18.63"
"1292017528000","18.65"
"1292017760000","18.63"
"1292017993000","18.65"
"1292018458000","18.63"
"1292018690000","18.65"
"1292021713000","18.68"
"1292021945000","18.65"
"1292023573000","18.68"
"1292028223000","18.7"
"1292028455000","18.68"
"1292029385000","18.7"
"1292029618000","18.68"
"1292030083000","18.7"
"1292030315000","18.68"
"1292030780000","18.7"
"1292031013000","18.68"
"1292031478000","18.7"
"1292034733000","18.72"
"1292034965000","18.7"
"1292036825000","18.72"
"1292037058000","18.7"
"1292037290000","18.72"
"1292037755000","18.7"
"1292038685000","18.72"
"1292038918000","18.7"
"1292039150000","18.72"
"1292039848000","18.7"
"1292040313000","18.72"
"1292041475000","18.74"
"1292041708000","18.72"
"1292043800000","18.74"
"1292044033000","18.72"
"1292045660000","18.74"
"1292045893000","18.72"
"1292046125000","18.74"
"1292046358000","18.72"
