"Monitor PT1000 Plus Bottom Mid TEC TAir"
Date,VALUE_CONVERTED
"1272286513000","15.36"
"1272289357000","17.42"
"1272294895000","15.34"
"1272314592000","13.32"
"1274770927000","15.34"
"1275002487000","13.3"
"1275082177000","15.32"
"1275096294000","13.3"
"1275523584000","15.32"
"1276609469000","13.3"
"1276731879000","15.32"
"1278406342000","15.28"
"1278718282000","13.3"
"1278742014000","15.32"
"1278844219000","13.3"
"1278902852000","15.32"
"1279537874000","13.3"
"1279544254000","15.32"
"1279544843000","15.47"
"1279644322000","13.45"
"1279782204000","15.47"
"1281970617000","13.43"
"1283174355000","15.45"
"1287477273000","14.5"
"1287519888000","16.52"
"1287653021000","18.55"
"1287659976000","16.52"
"1288197786000","14.47"
"1291874883000","16.48"
"1291890116000","17.66"
"1291980083000","18.5"
"1291980810000","18.48"
"1291981053000","18.5"
"1291982508000","18.52"
"1291982750000","18.5"
"1291983235000","18.52"
"1291983963000","18.5"
"1291984205000","18.52"
"1291985418000","18.55"
"1291985660000","18.52"
"1291986630000","18.55"
"1291990510000","18.57"
"1291990995000","18.55"
"1291991238000","18.57"
"1291994390000","18.59"
"1291994633000","18.57"
"1291995360000","18.59"
"1291996573000","18.57"
"1291996815000","18.59"
"1291999483000","18.61"
"1291999725000","18.59"
"1292000453000","18.61"
"1292001180000","18.59"
"1292001665000","18.61"
"1292002393000","18.59"
"1292002878000","18.61"
"1292005545000","18.63"
"1292006030000","18.61"
"1292006273000","18.63"
"1292007485000","18.61"
"1292007728000","18.63"
"1292007970000","18.61"
"1292008213000","18.63"
"1292013063000","18.65"
"1292018155000","18.68"
"1292022763000","18.7"
"1292023248000","18.68"
"1292023733000","18.7"
"1292024218000","18.68"
"1292024460000","18.7"
"1292024945000","18.68"
"1292025188000","18.7"
"1292025430000","18.68"
"1292025915000","18.7"
"1292031008000","18.72"
"1292032705000","18.7"
"1292032948000","18.72"
"1292035373000","18.74"
"1292035615000","18.72"
"1292037070000","18.74"
"1292037313000","18.72"
"1292037555000","18.74"
"1292042405000","18.76"
"1292042648000","18.74"
"1292044830000","18.76"
"1292045073000","18.74"
"1292046285000","18.76"
"1292046528000","18.74"
"1292047255000","18.76"
"1292047740000","18.74"
"1292047983000","18.76"
"1292048468000","18.74"
"1292048953000","18.76"
"1292049195000","18.74"
"1292049438000","18.76"
"1292050165000","18.74"
"1292050893000","18.76"
"1292051135000","18.74"
"1292051378000","18.76"
"1292054045000","18.78"
"1292055015000","18.76"
"1292055258000","18.78"
"1292055500000","18.76"
"1292056228000","18.78"
"1292056470000","18.76"
"1292056955000","18.78"
"1292057683000","18.76"
"1292057925000","18.78"
"1292058168000","18.76"
"1292058653000","18.78"
"1292058895000","18.76"
"1292059380000","18.78"
"1292063018000","18.81"
"1292063260000","18.78"
"1292064473000","18.81"
"1292064958000","18.78"
"1292065928000","18.81"
"1292066170000","18.78"
"1292066898000","18.81"
"1292067383000","18.78"
"1292067868000","18.81"
"1292072718000","18.83"
"1292073203000","18.81"
"1292073445000","18.83"
"1292073688000","18.81"
"1292074415000","18.83"
"1292074658000","18.81"
"1292075143000","18.83"
"1292075385000","18.81"
"1292075628000","18.83"
"1292076113000","18.81"
"1292076355000","18.83"
"1292076598000","18.81"
"1292076840000","18.83"
"1292077325000","18.81"
"1292077810000","18.83"
"1292078053000","18.81"
"1292078295000","18.83"
"1292079023000","18.81"
"1292079265000","18.83"
"1292081448000","18.85"
"1292081690000","18.83"
"1292083873000","18.85"
"1292084115000","18.83"
"1292084358000","18.85"
"1292084600000","18.83"
"1292086055000","18.85"
"1292086298000","18.83"
"1292087268000","18.85"
"1292087510000","18.83"
"1292087995000","18.85"
"1292088238000","18.83"
"1292088480000","18.85"
"1292088965000","18.83"
"1292089450000","18.85"
"1292090178000","18.83"
"1292090420000","18.85"
"1292091148000","18.83"
"1292091390000","18.85"
"1292094785000","18.87"
"1292095028000","18.85"
"1292097938000","18.87"
"1292098908000","18.85"
"1292100605000","18.87"
"1292100848000","18.85"
"1292101818000","18.87"
"1292102545000","18.85"
"1292103273000","18.87"
"1292105213000","18.85"
"1292105455000","18.87"
"1292106183000","18.85"
"1292106668000","18.87"
"1292109820000","18.89"
"1292110063000","18.87"
"1292111760000","18.89"
"1292112003000","18.87"
"1292112245000","18.89"
"1292112488000","18.87"
"1292112730000","18.89"
"1292112973000","18.87"
"1292114428000","18.89"
"1292114670000","18.87"
"1292115640000","18.89"
"1292115883000","18.87"
"1292116610000","18.89"
"1292116853000","18.87"
"1292117095000","18.89"
"1292117338000","18.87"
"1292117580000","18.89"
"1292118793000","18.87"
"1292119278000","18.89"
"1292124370000","18.87"
"1292124613000","18.89"
"1292128250000","18.92"
"1292128493000","18.89"
"1292129948000","18.92"
"1292130190000","18.89"
"1292133585000","18.92"
"1292134070000","18.89"
"1292135283000","18.92"
"1292135525000","18.89"
"1292135768000","18.92"
"1292136253000","18.89"
"1292136495000","18.92"
"1292136738000","18.89"
"1292137223000","18.92"
"1292137708000","18.89"
"1292137950000","18.92"
"1292138920000","18.89"
"1292139405000","18.92"
"1292139648000","18.89"
"1292139890000","18.92"
"1292140375000","18.89"
"1292140618000","18.92"
"1292143043000","18.89"
"1292143285000","18.92"
"1292144255000","18.94"
"1292144498000","18.92"
"1292149105000","18.94"
"1292150075000","18.92"
"1292150560000","18.94"
"1292151288000","18.92"
"1292151773000","18.94"
"1292152015000","18.92"
"1292152258000","18.94"
"1292152500000","18.92"
"1292153228000","18.94"
"1292153470000","18.92"
"1292153955000","18.94"
"1292155653000","18.92"
"1292155895000","18.94"
"1292157108000","18.92"
"1292157350000","18.94"
"1292158078000","18.92"
"1292158563000","18.94"
"1292158805000","18.92"
"1292159048000","18.94"
"1292160260000","18.92"
"1292160503000","18.94"
"1292162200000","18.92"
"1292162685000","18.94"
"1292164383000","18.92"
"1292164625000","18.94"
"1292168020000","18.96"
"1292168990000","18.94"
"1292169233000","18.96"
"1292169475000","18.94"
"1292169960000","18.96"
"1292170688000","18.94"
"1292171173000","18.96"
"1292171415000","18.94"
"1292172143000","18.96"
"1292172385000","18.94"
"1292173355000","18.96"
"1292173598000","18.94"
"1292173840000","18.96"
"1292174810000","18.94"
"1292175053000","18.96"
"1292176023000","18.94"
"1292176265000","18.96"
"1292176508000","18.94"
"1292177235000","18.96"
"1292178205000","18.94"
"1292178448000","18.96"
"1292178690000","18.94"
"1292178933000","18.96"
"1292179903000","18.94"
"1292180145000","18.96"
