CUMULATIVE_LUMI_INVNB
#Data tag : online , Norm tag: onlineresult
+-------------+-------------------+-----+------+----------------+---------------+
|   run:fill  |        time       | nls | ncms | delivered(/ub) | recorded(/ub) |
+-------------+-------------------+-----+------+----------------+---------------+
| 247292:3833 | 06/07/15 07:16:00 |  24 |  0   |     0.712      |     0.000     |
| 247298:3833 | 06/07/15 07:24:52 |  22 |  0   |     0.714      |     0.000     |
| 247299:3833 | 06/07/15 07:33:17 |  15 |  0   |     0.481      |     0.000     |
| 247300:3833 | 06/07/15 07:38:49 |  25 |  0   |    1922.266    |     0.000     |
| 247301:3833 | 06/07/15 07:48:10 |  29 |  0   |   10073.953    |     0.000     |
| 247302:3833 | 06/07/15 07:59:19 |  10 |  0   |    4114.770    |     0.000     |
| 247303:3833 | 06/07/15 08:02:53 |  27 |  0   |   11485.224    |     0.000     |
| 247305:3833 | 06/07/15 08:13:17 |  8  |  0   |    3302.391    |     0.000     |
| 247306:3833 | 06/07/15 08:16:18 |  65 |  0   |   26658.608    |     0.000     |
| 247307:3833 | 06/07/15 08:41:35 |  7  |  0   |    2762.780    |     0.000     |
| 247309:3833 | 06/07/15 08:44:18 |  17 |  0   |    6868.872    |     0.000     |
| 247310:3833 | 06/07/15 08:50:35 |  40 |  0   |   15918.916    |     0.000     |
| 247313:3833 | 06/07/15 09:16:24 |  30 |  0   |   11655.828    |     1.635     |
| 247317:3833 | 06/07/15 09:33:06 |  15 |  0   |    5772.239    |     0.000     |
| 247318:3833 | 06/07/15 09:38:40 |  29 |  0   |   11024.350    |     0.000     |
| 247319:3833 | 06/07/15 09:49:54 |  44 |  0   |   16565.134    |     0.000     |
| 247320:3833 | 06/07/15 10:06:46 |  25 |  0   |    9391.594    |     0.000     |
| 247321:3833 | 06/07/15 10:16:22 |  26 |  0   |    9590.396    |    1109.921   |
| 247323:3833 | 06/07/15 10:26:15 |  39 |  0   |   14243.369    |    7130.402   |
| 247324:3833 | 06/07/15 10:41:07 | 339 |  0   |   30340.702    |   28331.856   |
| 247326:3833 | 06/07/15 12:52:48 |  36 |  0   |     10.185     |     0.027     |
| 247328:3833 | 06/07/15 13:06:43 |  94 |  0   |    9383.808    |     3.782     |
| 247333:3833 | 06/07/15 13:43:13 |  24 |  0   |    3072.812    |    1673.230   |
| 247334:3833 | 06/07/15 13:52:13 |  6  |  0   |    1970.599    |     0.000     |
| 247335:3833 | 06/07/15 13:54:14 |  11 |  0   |    3668.776    |    1400.506   |
| 247368:3835 | 06/07/15 18:42:07 |  19 |  0   |     4.771      |     0.000     |
| 247373:3835 | 06/07/15 18:50:45 |  36 |  0   |     9.510      |     2.197     |
| 247376:3835 | 06/07/15 19:04:42 |  24 |  0   |     6.591      |     0.068     |
| 247377:3835 | 06/07/15 19:13:45 |  97 |  0   |   24909.573    |   14334.732   |
| 247379:3835 | 06/07/15 19:51:16 |  8  |  0   |    4089.868    |     0.000     |
| 247380:3835 | 06/07/15 19:54:15 |  16 |  0   |    8323.345    |     0.000     |
| 247381:3835 | 06/07/15 20:00:15 |  10 |  0   |    5094.125    |     77.679    |
| 247382:3835 | 06/07/15 20:03:57 |  11 |  0   |    2933.355    |     29.248    |
| 247383:3835 | 06/07/15 20:07:52 |  9  |  0   |    2241.446    |     19.645    |
| 247384:3835 | 06/07/15 20:11:11 |  17 |  0   |    5888.888    |     0.280     |
| 247385:3835 | 06/07/15 20:17:41 |  21 |  0   |    8372.875    |    143.832    |
| 247386:3835 | 06/07/15 20:25:46 |  14 |  0   |    7040.965    |    231.783    |
| 247387:3835 | 06/07/15 20:30:54 |  16 |  0   |    7943.857    |     17.141    |
| 247388:3835 | 06/07/15 20:37:04 |  85 |  0   |   41543.769    |   23785.264   |
| 247389:3835 | 06/07/15 21:09:50 | 129 |  0   |   60312.889    |   22505.452   |
| 247394:3835 | 06/07/15 21:59:43 |  18 |  0   |    8127.336    |     0.000     |
| 247395:3835 | 06/07/15 22:06:41 |  62 |  0   |   27993.571    |   17068.174   |
| 247397:3835 | 06/07/15 22:30:47 |  22 |  0   |    9700.483    |    2213.991   |
| 247398:3835 | 06/07/15 22:39:03 | 209 |  0   |   88477.123    |   52959.002   |
+-------------+-------------------+-----+------+----------------+---------------+
#Summary: 
+-------+------+------+------+-------------------+------------------+
| nfill | nrun | nls  | ncms | totdelivered(/ub) | totrecorded(/ub) |
+-------+------+------+------+-------------------+------------------+
|   2   |  44  | 1830 |  0   |     522813.819    |    173039.849    |
+-------+------+------+------+-------------------+------------------+
